codigo_datasus;codigo_cid10;descricao
S869;S86.9;Traumatismo de músculo e de tendão não especificado ao nível da perna
S870;S87.0;Traumatismo por esmagamento do joelho
S878;S87.8;Traumatismo por esmagamento de outra parte e de partes não especificadas da perna
S880;S88.0;Amputação traumática ao nível do joelho
S881;S88.1;Amputação traumática entre o joelho e o tornozelo
S889;S88.9;Amputação traumática da perna ao nível não especificado
S890;S89.0;Traumatismos múltiplos da perna
S898;S89.8;Outros traumatismos especificados da perna
S899;S89.9;Traumatismo não especificado da perna
S900;S90.0;Contusão do tornozelo
S901;S90.1;Contusão de artelho sem lesão da unha
S902;S90.2;Contusão de artelho(s) com lesão da unha
S903;S90.3;Contusão de outras partes e partes não especificadas do pé
S907;S90.7;Traumatismos superficiais múltiplos do tornozelo e do pé
S908;S90.8;Outros traumatismos superficiais do tornozelo e do pé
S909;S90.9;Traumatismo superficial do tornozelo e do pé, não especificado
S910;S91.0;Ferimento do tornozelo
S911;S91.1;Ferimento do(s) artelho(s) sem lesão da unha
S912;S91.2;Ferimento do(s) artelho(s) com lesão da unha
S913;S91.3;Ferimento de outras partes do pé
S917;S91.7;Ferimentos múltiplos do tornozelo e do pé
S920;S92.0;Fratura do calcâneo
S921;S92.1;Fratura do astrágalo
S922;S92.2;Fratura de outros ossos do tarso
S923;S92.3;Fratura de ossos do metatarso
S924;S92.4;Fratura do hálux
S925;S92.5;Fratura de outro artelho
S927;S92.7;Fraturas múltiplas do pé
S929;S92.9;Fratura do pé não especificada
S930;S93.0;Luxação da articulação do tornozelo
S931;S93.1;Luxação do(s) artelho(s)
S932;S93.2;Ruptura de ligamentos ao nível do tornozelo e do pé
S933;S93.3;Luxação de outras partes e das não especificadas do pé
S934;S93.4;Entorse e distensão do tornozelo
S935;S93.5;Entorse e distensão do(s) artelho(s)
S936;S93.6;Entorse e distensão de outras partes e de partes não especificadas do pé
S940;S94.0;Traumatismo do nervo plantar externo (lateral)
S941;S94.1;Traumatismo do nervo plantar interno (medial)
S942;S94.2;Traumatismo nervo peronial [fibular] profundo ao nível do tornozelo e do pé
S943;S94.3;Traumatismo do nervo sensitivo cutâneo ao nível do tornozelo e do pé
S947;S94.7;Traumatismo de múltiplos nervos ao nível do tornozelo e do pé
S948;S94.8;Traumatismo de outros nervos ao nível do tornozelo e do pé
S949;S94.9;Traumatismo de nervo não especificado, ao nível do tornozelo e do pé
S950;S95.0;Traumatismo da artéria dorsal do pé
S951;S95.1;Traumatismo da artéria plantar do pé
S952;S95.2;Traumatismo da veia dorsal do pé
S957;S95.7;Traumatismo de múltiplos vasos sangüíneos ao nível do tornozelo e do pé
S958;S95.8;Traumatismo de outros vasos sangüíneos ao nível do tornozelo e do pé
S959;S95.9;Traumatismo de vaso sangüíneo não especificado ao nível do tornozelo e do pé
S960;S96.0;Traumatismo do músculo e tendão do músculo flexor longo do(s) artelho(s) ao nível do tornozelo e do pé
S961;S96.1;Traumatismo do músculo e tendão do extensor longo do(s) artelho(s) ao nível do tornozelo e do pé
S962;S96.2;Traumatismo de músculo intrínseco e tendão ao nível do tornozelo e do pé
S967;S96.7;Traumatismo de múltiplos músculos e tendões ao nível do tornozelo e do pé
S968;S96.8;Traumatismo de outros tendões e músculos ao nível do tornozelo e do pé
S969;S96.9;Traumatismo de músculo e tendão não especificados do tornozelo e do pé
S970;S97.0;Lesão por esmagamento do tornozelo
S971;S97.1;Lesão por esmagamento do(s) artelho(s)
S978;S97.8;Lesão por esmagamento de outras partes do tornozelo e do pé
S980;S98.0;Amputação traumática do pé ao nível do tornozelo
S981;S98.1;Amputação traumática de apenas um artelho
S982;S98.2;Amputação traumática de dois ou mais artelhos
S983;S98.3;Amputação traumática de outras partes do pé
S984;S98.4;Amputação traumática do pé ao nível não especificado
S997;S99.7;Traumatismos múltiplos do tornozelo e do pé
S998;S99.8;Outros traumatismos especificados do tornozelo e do pé
S999;S99.9;Traumatismos não especificados do tornozelo e do pé
T000;T00.0;Traumatismos superficiais envolvendo a cabeça com o pescoço
T001;T00.1;Traumatismos superficiais envolvendo o tórax com o abdome, parte inferior do dorso e da pelve
T002;T00.2;Traumatismos superficiais envolvendo regiões múltiplas do(s) membro(s) superior(es)
T003;T00.3;Traumatismos superficiais envolvendo regiões múltiplas do(s) membro(s) inferior(es)
T006;T00.6;Traumatismos superficiais envolvendo regiões múltiplas dos membros superiores com membro(s) inferiores
T008;T00.8;Traumatismos superficiais envolvendo outras combinações de regiões do corpo
T009;T00.9;Traumatismos superficiais múltiplos não especificados
T010;T01.0;Ferimentos envolvendo a cabeça com o pescoço
T011;T01.1;Ferimentos envolvendo o tórax com o abdome, parte inferior do dorso e da pelve
T012;T01.2;Ferimentos envolvendo regiões múltiplas do(s) membro(s) superior(es)
T013;T01.3;Ferimentos envolvendo múltiplas regiões do(s) membro(s) inferior(es)
T016;T01.6;Ferimentos envolvendo regiões múltiplas do(s) membro(s) superior(es) com membro(s) inferior(es)
T018;T01.8;Ferimentos envolvendo outras combinações de regiões do corpo
T019;T01.9;Ferimentos múltiplos não especificados
T020;T02.0;Fraturas envolvendo cabeça com pescoço
T021;T02.1;Fraturas envolvendo tórax com parte inferior do dorso e da pelve
T022;T02.2;Fraturas envolvendo regiões múltiplas de um membro superior
T023;T02.3;Fraturas envolvendo regiões múltiplas de um membro inferior
T024;T02.4;Fraturas envolvendo regiões múltiplas de ambos os membros superiores
T025;T02.5;Fraturas envolvendo regiões múltiplas de ambos os membros inferiores
T026;T02.6;Fraturas envolvendo regiões múltiplas do(s) membro(s) superior(es) com inferior(es)
T027;T02.7;Fraturas envolvendo tórax com parte inferior do dorso e pelve com membro(s)
T028;T02.8;Fraturas envolvendo outras combinações de regiões do corpo
T029;T02.9;Fraturas múltiplas não especificadas
T030;T03.0;Luxações, entorses e distensões envolvendo a cabeça com o pescoço
T031;T03.1;Luxações, entorses e distensões envolvendo tórax com parte inferior do dorso e da pelve
T032;T03.2;Luxações, entorses e distensões envolvendo regiões múltiplas de membro(s) superior(es)
T033;T03.3;Luxações, entorses e distensões envolvendo regiões múltiplas do(s) membro(s) inferior(es)
T034;T03.4;Luxações, entorses e distensões envolvendo regiões múltiplas dos membros superiores com inferiores
T038;T03.8;Luxações, entorses e distensões envolvendo outras combinações de regiões do corpo
T039;T03.9;Luxações, entorses e distensões múltiplas, não especificadas
T040;T04.0;Traumatismos por esmagamento envolvendo a cabeça com o pescoço
T041;T04.1;Traumatismos por esmagamento envolvendo tórax com o abdome, parte inferior do dorso e da pelve
T042;T04.2;Traumatismos por esmagamento envolvendo regiões múltiplas do(s) membro(s) superior(es)
T043;T04.3;Traumatismos por esmagamento envolvendo regiões múltiplas do(s) membro(s) inferior(es)
T044;T04.4;Traumatismos por esmagamento envolvendo regiões múltiplas do(s) membro(s) superior(es) com inferior(es)
T047;T04.7;Traumatismo por esmagamento do tórax com abdome, parte inferior do dorso, pelve e membro(s)
T048;T04.8;Traumatismos por esmagamento envolvendo outras combinações de regiões do corpo
T049;T04.9;Traumatismo múltiplos por esmagamento não especificados
T050;T05.0;Amputação traumática de ambas as mãos
T051;T05.1;Amputação traumática de uma mão e de um outro braço [qualquer nível, exceto mão]
T052;T05.2;Amputação traumática de ambos os braços [qualquer nível]
T053;T05.3;Amputação traumática de ambos os pés
T054;T05.4;Amputação traumática de um pé e outra perna [qualquer nível, exceto pé]
T055;T05.5;Amputação traumática de ambas as pernas [qualquer nível]
T056;T05.6;Amputação traumática de membros superiores e inferiores, qualquer combinação [qualquer nível]
T058;T05.8;Amputações traumáticas envolvendo outras combinações de regiões do corpo
T059;T05.9;Amputações traumáticas múltiplas não especificadas
T060;T06.0;Traumatismos de cérebro e nervos cranianos com traumatismos de nervos e da medula espinhal ao nível do pescoço
T061;T06.1;Traumatismos de nervos e da medula espinhal envolvendo outras regiões múltiplas do corpo
T062;T06.2;Traumatismos de nervos envolvendo regiões múltiplas do corpo
T063;T06.3;Traumatismos de vasos sangüíneos envolvendo regiões múltiplas do corpo
T064;T06.4;Traumatismos de músculos e de tendões envolvendo regiões múltiplas do corpo
T065;T06.5;Traumatismos de órgãos intratorácicos com órgãos intra-abdominais e pélvicos
T068;T06.8;Outros traumatismos especificados envolvendo regiões múltiplas do corpo
T07;T07;Traumatismos múltiplos não especificados
T08;T08;Fratura da coluna, nível não especificado
T090;T09.0;Traumatismo superficial do tronco, nível não especificado
T091;T09.1;Ferimento do tronco, nível não especificado
T092;T09.2;Luxação, entorse e distensão de articulações e ligamentos não especificados do tronco
T093;T09.3;Traumatismo de medula espinhal, nível não especificado
T094;T09.4;Traumatismo de nervos, de raízes de nervos espinhais e de plexos não especificados do tronco
T095;T09.5;Traumatismo de músculo e tendão não especificados do tronco
T096;T09.6;Amputação traumática do tronco, nível não especificado
T098;T09.8;Outros traumatismos especificados do tronco, nível não especificado
T099;T09.9;Traumatismo não especificado do tronco, nível não especificado
T10;T10;Fratura do membro superior, nível não especificado
T110;T11.0;Traumatismo superficial do membro superior, nível não especificado
T111;T11.1;Ferimento do membro superior, nível não especificado
T112;T11.2;Luxação, entorse e distensão de articulação e ligamento não especificados do membro superior, nível não especificado
T113;T11.3;Traumatismo de nervo não especificado do membro superior, nível não especificado
T114;T11.4;Traumatismo de vaso sangüíneo não especificado, do membro superior, nível não especificado
T115;T11.5;Traumatismo de músculo e tendão não especificado do membro superior, nível não especificado
T116;T11.6;Amputação traumática do membro superior, nível não especificado
T118;T11.8;Outros traumatismos especificados do membro superior nível não especificado
T119;T11.9;Traumatismo não especificado do membro superior nível não especificado
T12;T12;Fratura do membro inferior, nível não especificado
T130;T13.0;Traumatismo superficial de membro inferior, nível não especificado
T131;T13.1;Ferimento de membro inferior, nível não especificado
T132;T13.2;Luxação, entorse e distensão de articulação e ligamento não especificados de membro inferior, nível não especificado
T133;T13.3;Traumatismo de nervo não especificado de membro inferior, nível não especificado
T134;T13.4;Traumatismo de vaso sangüíneo não especificado de membro inferior, nível não especificado
T135;T13.5;Traumatismo de músculo e tendão não especificado de membro inferior, nível não especificado
T136;T13.6;Amputação traumática de membro inferior, nível não especificado
T138;T13.8;Outros traumatismos especificados de membro inferior, nível não especificado
T139;T13.9;Traumatismo não especificado do membro inferior, nível não especificado
T140;T14.0;Traumatismo superficial de região não especificada do corpo
T141;T14.1;Ferimento de região não especificada do corpo
T142;T14.2;Fratura de região não especificada do corpo
T143;T14.3;Luxação, entorse e distensão de região não especificada do corpo
T144;T14.4;Traumatismo de nervo(s) de região não especificada do corpo
T145;T14.5;Traumatismo de vaso(s) sangüíneo(s) de região não especificada do corpo
T146;T14.6;Traumatismo de músculos e tendões de região não especificada do corpo
T147;T14.7;Traumatismo por esmagamento e amputação traumática de regiões não especificadas do corpo
T148;T14.8;Outros traumatismos de região não especificada do corpo
T149;T14.9;Traumatismo não especificado
T150;T15.0;Corpo estranho na córnea
T151;T15.1;Corpo estranho no saco conjuntival
T158;T15.8;Corpo estranho em outros locais e em locais múltiplos da parte externa do olho
T159;T15.9;Corpo estranho em parte não especificada da região externa do olho
T16;T16;Corpo estranho no ouvido
T170;T17.0;Corpo estranho no seio nasal
T171;T17.1;Corpo estranho na narina
T172;T17.2;Corpo estranho na faringe
T173;T17.3;Corpo estranho na laringe
T174;T17.4;Corpo estranho na traquéia
T175;T17.5;Corpo estranho no brônquio
T178;T17.8;Corpo estranho em outras partes e partes múltiplas do trato respiratório
T179;T17.9;Corpo estranho no trato respiratório, parte não especificada
T180;T18.0;Corpo estranho na boca
T181;T18.1;Corpo estranho no esôfago
T182;T18.2;Corpo estranho no estômago
T183;T18.3;Corpo estranho no intestino delgado
T184;T18.4;Corpo estranho no cólon
T185;T18.5;Corpo estranho no ânus e reto
T188;T18.8;Corpo estranho em outras partes e partes múltiplas do aparelho digestivo
T189;T18.9;Corpo estranho em parte não especificada do aparelho digestivo
T190;T19.0;Corpo estranho na uretra
T191;T19.1;Corpo estranho na bexiga
T192;T19.2;Corpo estranho na vulva e vagina
T193;T19.3;Corpo estranho no útero [qualquer parte]
T198;T19.8;Corpo estranho em outras partes e partes múltiplas do trato geniturinário
T199;T19.9;Corpo estranho no trato geniturinário, parte não especificada
T200;T20.0;Queimadura da cabeça e do pescoço, grau não especificado
T201;T20.1;Queimadura de primeiro grau da cabeça e do pescoço
T202;T20.2;Queimadura de segundo grau da cabeça e do pescoço
T203;T20.3;Queimadura de terceiro grau da cabeça e do pescoço
T204;T20.4;Corrosão da cabeça e do pescoço, grau não especificado
T205;T20.5;Corrosão de primeiro grau da cabeça e do pescoço
T206;T20.6;Corrosão de segundo grau da cabeça e do pescoço
T207;T20.7;Corrosão de terceiro grau da cabeça e do pescoço
T210;T21.0;Queimadura do tronco, grau não especificado
T211;T21.1;Queimadura de primeiro grau do tronco
T212;T21.2;Queimadura de segundo grau do tronco
T213;T21.3;Queimadura de terceiro grau do tronco
T214;T21.4;Corrosão do tronco, grau não especificado
T215;T21.5;Corrosão de primeiro grau do tronco
T216;T21.6;Corrosão de segundo grau do tronco
T217;T21.7;Corrosão de terceiro grau do tronco
T220;T22.0;Queimadura do ombro e do membro superior, exceto punho e mão, grau não especificado
T221;T22.1;Queimadura de primeiro grau do ombro e do membro superior, exceto punho e mão
T222;T22.2;Queimadura de segundo grau do ombro e do membro superior, exceto punho e mão
T223;T22.3;Queimadura de terceiro grau do ombro e do membro superior, exceto punho e mão
T224;T22.4;Corrosão do ombro e do membro superior, exceto punho e mão, grau não especificado
T225;T22.5;Corrosão de primeiro grau do ombro e do membro superior, exceto punho e mão
T226;T22.6;Corrosão de segundo grau do ombro e do membro superior, exceto punho e mão
T227;T22.7;Corrosão de terceiro grau do ombro e do membro superior, exceto punho e mão
T230;T23.0;Queimadura do punho e da mão, grau não especificado
T231;T23.1;Queimadura de primeiro grau do punho e da mão
T232;T23.2;Queimadura de segundo grau do punho e da mão
T233;T23.3;Queimadura de terceiro grau do punho e da mão
T234;T23.4;Corrosão do punho e da mão, grau não especificado
T235;T23.5;Corrosão de primeiro grau do punho e da mão
T236;T23.6;Corrosão de segundo grau do punho e da mão
T237;T23.7;Corrosão de terceiro grau do punho e da mão
T240;T24.0;Queimadura do quadril e membro inferior, exceto tornozelo e do pé, grau não especificado
T241;T24.1;Queimadura de primeiro grau do quadril e do membro inferior, exceto tornozelo e do pé
T242;T24.2;Queimadura de segundo grau do quadril e do membro inferior, exceto tornozelo e do pé
T243;T24.3;Queimadura de terceiro grau do quadril e do membro inferior, exceto tornozelo e do pé
T244;T24.4;Corrosão do quadril e do membro inferior, exceto tornozelo e do pé, grau não especificado
T245;T24.5;Corrosão de primeiro grau do quadril e do membro inferior, exceto tornozelo e do pé
T246;T24.6;Corrosão de segundo grau do quadril e do membro inferior, exceto tornozelo e do pé
T247;T24.7;Corrosão de terceiro grau do quadril e do membro inferior, exceto tornozelo e do pé
T250;T25.0;Queimadura do tornozelo e do pé, grau não especificado
T251;T25.1;Queimadura de primeiro grau do tornozelo e do pé
T252;T25.2;Queimadura de segundo grau do tornozelo e do pé
T253;T25.3;Queimadura de terceiro grau do tornozelo e do pé
T254;T25.4;Corrosão do tornozelo e do pé, grau não especificado
T255;T25.5;Corrosão de primeiro grau do tornozelo e do pé
T256;T25.6;Corrosão de segundo grau do tornozelo e do pé
T257;T25.7;Corrosão de terceiro grau do tornozelo e do pé
T260;T26.0;Queimadura da pálpebra e da região periocular
T261;T26.1;Queimadura da córnea e do saco conjuntival
T262;T26.2;Queimadura com resultante ruptura e destruição do globo ocular
T263;T26.3;Queimadura de outras partes do olho e anexos
T264;T26.4;Queimadura do olho e anexos, parte não especificada
T265;T26.5;Corrosão da pálpebra e da região periocular
T266;T26.6;Corrosão da córnea e do saco conjuntival
T267;T26.7;Corrosão com resultante ruptura e destruição do globo ocular
T268;T26.8;Corrosão de outras partes do olho e anexos
T269;T26.9;Corrosão do olho e anexos, parte não especificada
T270;T27.0;Queimadura da laringe e traquéia
T271;T27.1;Queimadura da laringe, traquéia com pulmão
T272;T27.2;Queimadura de outras partes do trato respiratório
T273;T27.3;Queimadura do trato respiratório, parte não especificada
T274;T27.4;Corrosão da laringe e traquéia
T275;T27.5;Corrosão da laringe, traquéia com corrosão de pulmão
T276;T27.6;Corrosão de outras partes do trato respiratório
T277;T27.7;Corrosão do trato respiratório, parte não especificada
T280;T28.0;Queimadura da boca e da faringe
T281;T28.1;Queimadura do esôfago
T282;T28.2;Queimadura de outras partes do trato alimentar
T283;T28.3;Queimadura dos órgãos geniturinários internos
T284;T28.4;Queimadura de outros órgãos internos e dos não especificados
T285;T28.5;Corrosão da boca e faringe
T286;T28.6;Corrosão do esôfago
T287;T28.7;Corrosão de outras partes do trato alimentar
T288;T28.8;Corrosão de órgãos geniturinários internos
T289;T28.9;Corrosão de outros órgãos internos e dos não especificados
T290;T29.0;Queimaduras múltiplas, grau não especificado
T291;T29.1;Queimaduras múltiplas, sem mencionar queimadura(s) ultrapassando o primeiro grau
T292;T29.2;Queimaduras múltiplas, sem mencionar queimadura(s) ultrapassando o segundo grau
T293;T29.3;Queimaduras múltiplas, mencionando ao menos uma queimadura de terceiro grau
T294;T29.4;Corrosões múltiplas, grau não especificado
T295;T29.5;Corrosões múltiplas, sem mencionar corrosão(ões) ultrapassando o primeiro grau
T296;T29.6;Corrosões múltiplas, sem mencionar corrosão(ões) ultrapassando o segundo grau
T297;T29.7;Corrosões múltiplas, mencionado ao menos uma corrosão de terceiro grau
T300;T30.0;Queimadura, parte do corpo não especificada, grau não especificado
T301;T30.1;Queimadura de primeiro grau, parte do corpo não especificada
T302;T30.2;Queimadura de segundo grau, parte do corpo não especificada
T303;T30.3;Queimadura de terceiro grau, parte do corpo não especificada
T304;T30.4;Corrosão, parte do corpo não especificada, grau não especificado
T305;T30.5;Corrosão de primeiro grau, parte do corpo não especificada
T306;T30.6;Corrosão de segundo grau, parte do corpo não especificada
T307;T30.7;Corrosão de terceiro grau, parte do corpo não especificada
T310;T31.0;Queimaduras envolvendo menos de 10% da superfície corporal
T311;T31.1;Queimaduras envolvendo de 10 - 19% da superfície corporal
T312;T31.2;Queimaduras envolvendo de 20 - 29% da superfície corporal
T313;T31.3;Queimaduras envolvendo de 30 - 39% da superfície corporal
T314;T31.4;Queimaduras envolvendo de 40 - 49% da superfície corporal
T315;T31.5;Queimaduras envolvendo de 50 - 59% da superfície corporal
T316;T31.6;Queimaduras envolvendo de 60 - 69% da superfície corporal
T317;T31.7;Queimaduras envolvendo de 70 - 79% da superfície corporal
T318;T31.8;Queimaduras envolvendo de 80 - 89% da superfície corporal
T319;T31.9;Queimaduras envolvendo 90% ou mais da superfície corporal
T320;T32.0;Corrosões envolvendo menos de 10% da superfície corporal
T321;T32.1;Corrosões envolvendo 10 - 19% da superfície corporal
T322;T32.2;Corrosões envolvendo 20 - 29% da superfície corporal
T323;T32.3;Corrosões envolvendo 30 - 39% da superfície corporal
T324;T32.4;Corrosões envolvendo 40 - 49% da superfície corporal
T325;T32.5;Corrosões envolvendo 50 - 59% da superfície corporal
T326;T32.6;Corrosões envolvendo 60 - 69% da superfície corporal
T327;T32.7;Corrosões envolvendo 70 - 79% da superfície corporal
T328;T32.8;Corrosões envolvendo 80 - 89% da superfície corporal
T329;T32.9;Corrosões envolvendo 90% ou mais da superfície corporal
T330;T33.0;Geladura superficial da cabeça
T331;T33.1;Geladura superficial do pescoço
T332;T33.2;Geladura superficial do tórax
T333;T33.3;Geladura superficial da parede abdominal, parte inferior do dorso e da pelve
T334;T33.4;Geladura superficial do braço
T335;T33.5;Geladura superficial do punho e da mão
T336;T33.6;Geladura superficial do quadril e da coxa
T337;T33.7;Geladura superficial do joelho e da perna
T338;T33.8;Geladura superficial do tornozelo e do pé
T339;T33.9;Geladura superficial de outros locais e de locais não especificados
T340;T34.0;Geladura, com necrose de tecidos, da cabeça
T341;T34.1;Geladura, com necrose de tecidos, do pescoço
T342;T34.2;Geladura, com necrose de tecidos, do tórax
T343;T34.3;Geladura, com necrose de tecidos, da parede abdominal, parte inferior do dorso e da pelve
T344;T34.4;Geladura, com necrose de tecidos, do braço
T345;T34.5;Geladura, com necrose de tecidos, do punho e da mão
T346;T34.6;Geladura, com necrose de tecidos, do quadril e da coxa
T347;T34.7;Geladura, com necrose de tecidos, do joelho e da perna
T348;T34.8;Geladura, com necrose de tecidos, do tornozelo e do pé
T349;T34.9;Geladura, com necrose de tecidos, de localização não especificada
T350;T35.0;Geladura superficial envolvendo múltiplas partes do corpo
T351;T35.1;Geladura, com necrose de tecidos, de múltiplas partes do corpo
T352;T35.2;Geladura, de grau não especificado, da cabeça e do pescoço
T353;T35.3;Geladura, de grau não especificado, do tórax, abdome, parte inferior do dorso e da pelve
T354;T35.4;Geladura, de grau não especificado, do membro superior
T355;T35.5;Geladura, de grau não especificado, do membro inferior
T356;T35.6;Geladura, de grau não especificado, de múltiplas partes do corpo
T357;T35.7;Geladura, de grau não especificado, de localização não especificada
T360;T36.0;Intoxicação por penicilinas
T361;T36.1;Intoxicação por cefalosporinas e outras betalactaminas
T362;T36.2;Intoxicação pelo grupo do cloranfenicol
T363;T36.3;Intoxicação por macrolídios
T364;T36.4;Intoxicação por tetraciclinas
T365;T36.5;Intoxicação por aminoglicosídeos
T366;T36.6;Intoxicação por rifamicinas
T367;T36.7;Intoxicação por antibióticos antifúngicos administrados por via sistêmica
T368;T36.8;Intoxicação por outros antibióticos sistêmicos
T369;T36.9;Intoxicação por antibióticos sistêmicos não especificados
T370;T37.0;Intoxicação por sulfonamidas
T371;T37.1;Intoxicação por drogas antimicobacterianas
T372;T37.2;Intoxicação por antimaláricos e drogas que atuam sobre outros protozoários do sangue
T373;T37.3;Intoxicação por outros medicamentos antiprotozoários
T374;T37.4;Intoxicação por anti-helmínticos
T375;T37.5;Intoxicação por drogas antivirais
T378;T37.8;Intoxicação por outros agentes antiinfecciosos e antiparasitários especificados
T379;T37.9;Intoxicação por agentes antiinfecciosos e antiparasitários sistêmicos não especificados
T380;T38.0;Intoxicação por glicocorticóides e análogos sintéticos
T381;T38.1;Intoxicação por hormônios tireoidianos e seus derivados
T382;T38.2;Intoxicação por medicamentos antitireoidianos
T383;T38.3;Intoxicação por insulina e drogas hipoglicemiantes orais [antidiabéticos]
T384;T38.4;Intoxicação por anticoncepcionais orais
T385;T38.5;Intoxicação por outros estrógenos e progestágenos
T386;T38.6;Intoxicação por antigonadotrofinas, antiestrógenos, antiandrógenos não classificados em outra parte
T387;T38.7;Intoxicação por andrógenos e anabolizantes congêneres
T388;T38.8;Intoxicação por outros hormônios e substitutos sintéticos, e os não especificados
T389;T38.9;Intoxicação por outros antagonistas hormonais, e os não especificados
T390;T39.0;Intoxicação por salicilatos
T391;T39.1;Intoxicação por derivados do 4-aminofenol
T392;T39.2;Intoxicação por derivados pirazolônicos
T393;T39.3;Intoxicação por outros antiinflamatórios não esteróides
T394;T39.4;Intoxicação por anti-reumáticos não classificados em outra parte
T398;T39.8;Intoxicação por outros analgésicos não opiáceos e antipiréticos não classificados em outra parte
T399;T39.9;Intoxicação por analgésico não-opiáceo, antipirético e anti-reumático, não especificados
T400;T40.0;Intoxicação por ópio
T401;T40.1;Intoxicação por heroína
T402;T40.2;Intoxicação por outros opiáceos
T403;T40.3;Intoxicação por metadona
T404;T40.4;Intoxicação por outros narcóticos sintéticos
T405;T40.5;Intoxicação por cocaína
T406;T40.6;Intoxicação por outros narcóticos e os não especificados
T407;T40.7;Intoxicação por cannabis (derivados)
T408;T40.8;Intoxicação por lisergida [LSD]
T409;T40.9;Intoxicação por outros psicodislépticos e os não especificados [alucinógenos]
T410;T41.0;Intoxicação por anestésicos inalatórios
T411;T41.1;Intoxicação por anestésicos intravenosos
T412;T41.2;Intoxicação por outros anestésicos gerais e os não especificados
T413;T41.3;Intoxicação por anestésicos locais
T414;T41.4;Intoxicação por anestésico não especificado
T415;T41.5;Intoxicação por gases terapêuticos
T420;T42.0;Intoxicação por derivados da hidantoína
T421;T42.1;Intoxicação por iminostilbenos
T422;T42.2;Intoxicação por succinimidas e oxazolidinadionas
T423;T42.3;Intoxicação por barbitúricos
T424;T42.4;Intoxicação por benzodiazepinas
T425;T42.5;Intoxicação por antiepiléticos em associação, não classificados em outra parte
T426;T42.6;Intoxicação por outras drogas antiepilépticas e sedativos-hipnóticos
T427;T42.7;Intoxicação por drogas antiepilépticos, sedativos-hipnóticos, não especificados
T428;T42.8;Intoxicação por drogas antiparkinsonianos e outros depressores centrais do tônus muscular
T430;T43.0;Intoxicação por antidepressivos tricíclicos e tetracíclicos
T431;T43.1;Intoxicação por antidepressivos inibidores da monoaminooxidase (MAO)
T432;T43.2;Intoxicação por outros antidepressivos e os não especificados
T433;T43.3;Intoxicação por antipsicóticos e neurolépticos derivados da fenotiazina
T434;T43.4;Intoxicação por neurolépticos do tipo butirofenona e tioxanteno
T435;T43.5;Intoxicação por outros antipsicóticos e neurolépticos e os não especificados
T436;T43.6;Intoxicação por psicoestimulantes que potencialmente podem provocar dependência
T438;T43.8;Intoxicação por outras drogas psicotrópicas não classificadas em outra parte
T439;T43.9;Intoxicação por droga psicotrópica não especificada
T440;T44.0;Intoxicação por agentes anticolinesterase
T441;T44.1;Intoxicação por outros agentes parassimpaticomiméticos [colinérgicos]
T442;T44.2;Intoxicação por bloqueadores ganglionares não classificados em outra parte
T443;T44.3;Intoxicação por outros parassimpaticolíticos [anticolinérgicos e antimuscarínicos] e espasmolíticos não classificados em outra parte
T444;T44.4;Intoxicação por agonistas principalmente alfa-adrenorreceptores não classificados em outra parte
T445;T44.5;Intoxicação por agonistas principalmente beta-adrenorreceptores não classificados em outra parte
T446;T44.6;Intoxicação por antagonistas alfa-adrenorreceptores não classificados em outra parte
T447;T44.7;Intoxicação por antagonistas beta-adrenorreceptores não classificados em outra parte
T448;T44.8;Intoxicação por bloqueadores neuronais adrenérgicos e de ação central, não classificados em outra parte
T449;T44.9;Intoxicação por outras drogas que afetam principalmente o sistema nervoso autônomo e as não especificadas
T450;T45.0;Intoxicação por drogas antialérgicas e antieméticas
T451;T45.1;Intoxicação por drogas antineoplásicas e imunomupressoras
T452;T45.2;Intoxicação por vitaminas, não classificadas em outra parte
T453;T45.3;Intoxicação por enzimas, não classificadas em outra parte
T454;T45.4;Intoxicação por ferro e seus compostos
T455;T45.5;Intoxicação por anticoagulantes
T456;T45.6;Intoxicação por drogas que afetam a fibrinólise
T457;T45.7;Intoxicação por antagonistas de anticoagulantes, vitamina K e de outros fatores de coagulação
T458;T45.8;Intoxicação por outras substâncias primariamente sistêmicas e hematológicas
T459;T45.9;Intoxicação por substância essencialmente sistêmica e hematológica não especificada
T460;T46.0;Intoxicação por glicosídeos estimulantes do coração e substâncias de ação semelhante
T461;T46.1;Intoxicação por bloqueadores dos canais de cálcio
T462;T46.2;Intoxicação por outras drogas antidisrítmicas não classificadas em outra parte
T463;T46.3;Intoxicação por vasodilatadores coronarianos, não classificados em outra parte
T464;T46.4;Intoxicação por inibidores da enzima de conversão da angiotensina
T465;T46.5;Intoxicação por outras drogas anti-hipertensivas não classificadas em outra parte
T466;T46.6;Intoxicação por drogas antihiperlipêmicas e antiarterioscleróticas
T467;T46.7;Intoxicação por vasodilatadores periféricos
T468;T46.8;Intoxicação por drogas antivaricosas, incluindo substâncias esclerosantes
T469;T46.9;Intoxicação por outras substâncias e as não especificadas que agem essencialmente sobre o aparelho circulatório
T470;T47.0;Intoxicação por antagonistas dos receptores H2 da histamina
T471;T47.1;Intoxicação por outros antiácidos e drogas que inibem a secreção gástrica
T472;T47.2;Intoxicação por laxativos estimulantes
T473;T47.3;Intoxicação por laxativos salinos e osmóticos
T474;T47.4;Intoxicação por outros laxativos
T475;T47.5;Intoxicação por digestivos
T476;T47.6;Intoxicação por drogas antidiarréicas
